♥YHY直播,#genre#
山东卫视,http://202.100.46.58:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265027
江苏卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265030
浙江卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265031
湖南卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265024
广东卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265034
深圳卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265028
天津卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265026
安徽卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265025
东南卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265033
河北卫视,http://www.72444165.xyz:5005/itv/bestzb/5000000006000040016
河南卫视,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031119
湖北卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265023
广西卫视,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031118
四川卫视,http://www.72444165.xyz:5005/itv/bestzb/5000000004000006119
贵州卫视,http://www.72444165.xyz:5005/itv/bestzb/5000000004000025843
海南卫视,http://www.72444165.xyz:5005/itv/bestzb/5000000004000006211
山东卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265019
江西卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265032
青海卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000002000013359
吉林卫视,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031117
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
安徽卫视,http://120.76.248.139/live/bfgd/4200000096.m3u8
北京卫视,http://120.76.248.139/live/bfgd/4200000083.m3u8
西藏卫视,http://120.76.248.139/live/bfgd/4200000121.m3u8
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8
云南卫视,http://120.76.248.139/live/bfgd/4200000482.m3u8
安徽卫视,http://123.166.61.70:8003/hls/55/index.m3u8
安徽卫视,http://202.100.46.58:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://61.163.181.78:9901/tsfile/live/1043_1.m3u8
北京卫视,http://123.166.61.70:8003/hls/56/index.m3u8
北京卫视,http://110.53.52.63:8888/newlive/live/hls/18/live.m3u8
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0
重庆卫视,http://123.166.61.70:8003/hls/62/index.m3u8
东方卫视,http://61.163.181.78:9901/tsfile/live/1036_1.m3u8
东方卫视,http://119.163.199.98:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://123.166.61.70:8003/hls/53/index.m3u8
甘肃卫视,http://202.100.46.58:9901/tsfile/live/1035_1.m3u8
广西卫视,http://119.163.199.98:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://110.53.52.63:8888/newlive/live/hls/25/live.m3u8
贵州卫视,http://123.166.61.70:8003/hls/54/index.m3u8
贵州卫视,http://119.163.199.98:9901/tsfile/live/0120_1.m3u8
贵州卫视,http://220.164.192.48:50085/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://202.100.46.58:9901/tsfile/live/1034_1.m3u8
海南卫视,http://123.166.61.70:8003/hls/63/index.m3u8
海南卫视,http://220.164.192.48:50085/tsfile/live/1003_1.m3u8

河北卫视,http://220.164.192.48:50085/tsfile/live/0113_1.m3u8

河南卫视,http://123.166.61.70:8003/hls/52/index.m3u8
黑龙江卫视,http://123.166.61.70:8003/hls/14/index.m3u8
湖南卫视,http://202.100.46.58:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://119.163.199.98:9901/tsfile/live/0017_1.m3u8
吉林卫视,http://119.163.199.98:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://110.53.52.63:8888/newlive/live/hls/34/live.m3u8

江苏卫视,http://110.53.52.63:8888/newlive/live/hls/21/live.m3u8
江苏卫视,http://61.163.181.78:9901/tsfile/live/1044_1.m3u8
辽宁卫视,http://61.157.139.15:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://221.213.69.82:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
宁夏卫视,http://219.147.200.9:18080/newlive/live/hls/53/live.m3u8
青海卫视,http://119.163.199.98:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://110.53.52.63:8888/newlive/live/hls/38/live.m3u8
山西卫视,http://219.147.200.9:18080/newlive/live/hls/40/live.m3u8
陕西卫视,http://110.53.52.63:8888/newlive/live/hls/40/live.m3u8
陕西卫视,http://222.241.154.37:9901/tsfile/live/23048_1.m3u8?key=tvbox6_com&playlive=1&authid=0
陕西卫视,http://202.100.46.58:9901/tsfile/live/1017_1.m3u8
深圳卫视,http://61.163.181.78:9901/tsfile/live/1041_1.m3u8
深圳卫视,http://123.166.61.70:8003/hls/61/index.m3u8
深圳卫视,http://122.224.232.218:8888/rtp/233.50.201.101:5140
四川卫视,http://219.147.200.9:18080/newlive/live/hls/48/live.m3u8
天津卫视,http://123.166.61.70:8003/hls/57/index.m3u8
天津卫视,http://202.100.46.58:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://124.128.73.58:9901/tsfile/live/0129_1.m3u8
厦门卫视,http://202.100.46.58:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://119.163.199.98:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://110.53.52.63:8888/newlive/live/hls/26/live.m3u8
浙江卫视,http://219.147.200.9:18080/newlive/live/hls/29/live.m3u8
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0&cdn=5202
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0&cdn=5202
中国教育,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022823801/timeshift.m3u8?delay=0&cdn=5202

💝咪咕频道,#genre#
CCTV-01咪咕,http://rihou.cc:567/23201.php?id=cctv1
CCTV-02咪咕,http://rihou.cc:567/23201.php?id=cctv2
CCTV-03咪咕,http://rihou.cc:567/23201.php?id=cctv3
CCTV-04咪咕,http://rihou.cc:567/23201.php?id=cctv4
CCTV-05咪咕,http://rihou.cc:567/23201.php?id=cctv5
CCTV-5+咪咕,http://rihou.cc:567/23201.php?id=cctv5p
CCTV-06咪咕,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV-06咪咕,http://rihou.cc:567/23201.php?id=cctv6
CCTV-07咪咕,http://rihou.cc:567/23201.php?id=cctv7
CCTV-08咪咕,http://rihou.cc:567/23201.php?id=cctv8
CCTV-09咪咕,http://rihou.cc:567/23201.php?id=cctv9
CCTV-10咪咕,http://rihou.cc:567/23201.php?id=cctv10
CCTV-11咪咕,http://rihou.cc:567/23201.php?id=cctv11
CCTV-12咪咕,http://rihou.cc:567/23201.php?id=cctv12
CCTV-13咪咕,http://rihou.cc:567/23201.php?id=cctv13
CCTV-14咪咕,http://rihou.cc:567/23201.php?id=cctv14
CCTV-15咪咕,http://rihou.cc:567/23201.php?id=cctv15
CCTV-17咪咕,http://rihou.cc:567/23201.php?id=cctv17
CT4欧洲咪咕,http://rihou.cc:567/23201.php?id=cctv4o
CT4美洲咪咕,http://rihou.cc:567/23201.php?id=cctv4a
CGT纪录咪咕,http://rihou.cc:567/23201.php?id=cgtnjl
CGT西语咪咕,http://rihou.cc:567/23201.php?id=cgtne
CGT阿语咪咕,http://rihou.cc:567/23201.php?id=cgtna
CGT法语咪咕,http://rihou.cc:567/23201.php?id=cgtnf
CGT俄语咪咕,http://rihou.cc:567/23201.php?id=cgtnr
家庭影院咪咕,http://rihou.cc:567/23201.php?id=chcjt
动作电影咪咕,http://rihou.cc:567/23201.php?id=chcdz
发现之旅咪咕,http://rihou.cc:567/23201.php?id=fxzl
老故事台咪咕,http://rihou.cc:567/23201.php?id=lgs
中学生台咪咕,http://rihou.cc:567/23201.php?id=zxs
东方卫视咪咕,http://rihou.cc:567/23201.php?id=dfws
吉林卫视咪咕,http://rihou.cc:567/23201.php?id=jlws
青海卫视咪咕,http://rihou.cc:567/23201.php?id=qhws
湖北卫视咪咕,http://rihou.cc:567/23201.php?id=hubws
江西卫视咪咕,http://rihou.cc:567/23201.php?id=jxws
江苏卫视咪咕,http://rihou.cc:567/23201.php?id=jsws
广东卫视咪咕,http://rihou.cc:567/23201.php?id=gdws
湾区卫视咪咕,http://rihou.cc:567/23201.php?id=dwqws
海南卫视咪咕,http://rihou.cc:567/23201.php?id=hinws
兵团卫视咪咕,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0&cdn=5202
中国教育咪咕,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022823801/timeshift.m3u8?delay=0&cdn=5202
四海钓鱼咪咕,http://rihou.cc:567/23201.php?id=shdy
热剧联播咪咕,http://rihou.cc:567/23201.php?id=rjlb
CCTV-01频道,http://118.251.60.185:8888/udp/239.76.253.151:9000
CCTV-02频道,http://118.251.60.185:8888/udp/239.76.253.152:9000
CCTV-03频道,http://118.251.60.185:8888/udp/239.76.253.153:9000
CCTV-04频道,http://118.251.60.185:8888/udp/239.76.253.154:9000
CCTV-05频道,http://118.251.60.185:8888/udp/239.76.253.155:9000
CCTV-5+频道,http://118.251.60.185:8888/udp/239.76.253.168:9000
CCTV-06频道,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV-07频道,http://118.251.60.185:8888/udp/239.76.253.157:9000
CCTV-08频道,http://118.251.60.185:8888/udp/239.76.253.158:9000
CCTV-09频道,http://118.251.60.185:8888/udp/239.76.253.159:9000
CCTV-10频道,http://118.251.60.185:8888/udp/239.76.253.160:9000
CCTV-11频道,http://118.251.60.185:8888/udp/239.76.245.251:1234
CCTV-12频道,http://118.251.60.185:8888/udp/239.76.253.162:9000
CCTV-13频道,http://118.251.60.185:8888/udp/239.76.253.93:9000
CCTV-14频道,http://118.251.60.185:8888/udp/239.76.253.164:9000
CCTV-15频道,http://118.251.60.185:8888/udp/239.76.245.252:1234
CCTV-16频道,http://118.251.60.185:8888/udp/239.76.253.98:9000
CCTV-17频道,http://118.251.60.185:8888/udp/239.76.245.238:1234
CCTV4欧洲台,http://118.251.60.185:8888/udp/239.76.253.95:9000
CCTV4美洲台,http://118.251.60.185:8888/udp/239.76.253.96:9000
CGTN_英语台,http://118.251.60.185:8888/udp/239.76.252.66:9000
CGTN_纪录台,http://118.251.60.185:8888/udp/239.76.252.67:9000
CGTN_西语台,http://118.251.60.185:8888/udp/239.76.253.88:9000
CGTN_法语台,http://118.251.60.185:8888/udp/239.76.253.87:9000
CGTN_阿语台,http://118.251.60.185:8888/udp/239.76.253.97:9000
CGTN_俄语台,http://118.251.60.185:8888/udp/239.76.253.86:9000
凤凰中文频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
世界地理频道,http://118.251.60.185:8888/udp/239.76.254.57:9000
兵器科技频道,http://118.251.60.185:8888/udp/239.76.254.59:9000
第一剧场频道,http://118.251.60.185:8888/udp/239.76.254.49:9000
怀旧剧场频道,http://118.251.60.185:8888/udp/239.76.254.53:9000
风云剧场频道,http://118.251.60.185:8888/udp/239.76.254.50:9000
风云音乐频道,http://118.251.60.185:8888/udp/239.76.254.51:9000
风云足球频道,http://118.251.60.185:8888/udp/239.76.254.52:9000
女性时尚频道,http://118.251.60.185:8888/udp/239.76.254.55:9000
文化精品频道,http://118.251.60.185:8888/udp/239.76.254.56:9000
高尔网球频道,http://118.251.60.185:8888/udp/239.76.254.62:9000
央视台球频道,http://118.251.60.185:8888/udp/239.76.254.58:9000
电视指南频道,http://118.251.60.185:8888/udp/239.76.254.61:9000
早期教育频道,http://118.251.60.185:8888/udp/239.76.254.202:9000
中国教育频道,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022823801/timeshift.m3u8?delay=0&cdn=5202
中国教壹频道,http://118.251.60.185:8888/udp/239.76.252.192:9000
中国教贰频道,http://118.251.60.185:8888/udp/239.76.252.253:9000
中国天气频备,http://118.251.60.185:8888/udp/239.76.253.61:9000
中国书画频道,http://118.251.60.185:8888/udp/239.76.253.77:9000
中国交通频备,http://118.251.60.185:8888/udp/239.76.254.100:9000
Ymg未来频道,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
新视觉hd频道,http://120.76.248.139/live/bfgd/4200000249.m3u8
重温经典频道,http://120.76.248.139/live/bfgd/4200000635.m3u8
重温经典频道,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
影迷电影频道,http://cg14.hunancatv.cn:9090/live/CHCGQ_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604315487&srchost=172.16.22.158:8060&gid=QTVto%2BZu6pkkcNYy4OxcMg%3D%3D
北京卫视频道,http://118.251.60.185:8888/udp/239.76.253.184:9000
东方卫视频道,http://118.251.60.185:8888/udp/239.76.253.186:9000
浙江卫视频道,http://118.251.60.185:8888/udp/239.76.253.182:9000
江苏卫视频道,http://118.251.60.185:8888/udp/239.76.253.181:9000
湖南卫视频道,http://118.251.60.185:8888/udp/239.76.253.101:9000
广东卫视频道,http://118.251.60.185:8888/udp/239.76.252.189:9000
深圳卫视频道,http://118.251.60.185:8888/udp/239.76.253.188:9000
天津卫视频道,http://118.251.60.185:8888/udp/239.76.253.185:9000
安徽卫视频道,http://118.251.60.185:8888/udp/239.76.252.196:9000
山东卫视频道,http://118.251.60.185:8888/udp/239.76.253.195:9000
东南卫视频道,http://118.251.60.185:8888/udp/239.76.252.190:9000
陕西卫视频道,http://118.251.60.185:8888/udp/239.76.254.76:9000
辽宁卫视频道,http://118.251.60.185:8888/udp/239.76.252.197:9000
河北卫视频道,http://118.251.60.185:8888/udp/239.76.252.199:9000
河南卫视频道,http://118.251.60.185:8888/udp/239.76.253.202:9000
海南卫视频道,http://118.251.60.185:8888/udp/239.76.253.203:9000
江西卫视频道,http://118.251.60.185:8888/udp/239.76.245.225:1234
湖北卫视频道,http://118.251.60.185:8888/udp/239.76.253.193:9000
广西卫视频道,http://118.251.60.185:8888/udp/239.76.254.54:9000
四川卫视频道,http://118.251.60.185:8888/udp/239.76.253.91:9000
云南卫视频道,http://118.251.60.185:8888/udp/239.76.254.60:9000
贵州卫视频道,http://118.251.60.185:8888/udp/239.76.252.198:9000
重庆卫视频道,http://118.251.60.185:8888/udp/239.76.253.92:9000
青海卫视频道,http://118.251.60.185:8888/udp/239.76.254.132:9000
甘肃卫视频道,http://118.251.60.185:8888/udp/239.76.253.94:9000
吉林卫视频道,http://118.251.60.185:8888/udp/239.76.253.201:9000
兵团卫视频道,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0&cdn=5202
黑龙江视频道,http://118.251.60.185:8888/udp/239.76.253.200:9000
CCTV-01_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265001
CCTV-02_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000001000023315
CCTV-03_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265003
CCTV-04_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265004
CCTV-05_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265005
CCTV-5+_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265016
CCTV-06_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265006
CCTV-07_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265007
CCTV-08_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265008
CCTV-09_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265009
CCTV-10_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265010
CCTV-12_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265012
CCTV-13_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031108
CCTV-15_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265014
吉林卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031117
黑龙江视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265029
华数__4K_ITV,http://www.72444165.xyz:5005/itv/wasusyt/6000000003000004748
纯享__4K_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000011651
黑莓电影_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000019624
黑莓动画_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000021734
哒啵电竞_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000006000032327
精品综合_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000019008
精品纪录_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000013730
精品体育_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000014634
精品萌宠_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000006000032328
爱情喜剧_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000010
超级电影_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000003000012426
超级体育_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000001000009601
超级综艺_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000006000268002
动作电影_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000018653
古装剧场_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000024
欢乐剧场_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000266012
家庭剧场_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000008284
军事评论_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000022
武博世界_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000007
中国功夫_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000009
CCTV1,http://kxrj.site:998/123/mg.php?id=cctv1
CCTV2,http://kxrj.site:998/123/mg.php?id=cctv2
CCTV3,http://kxrj.site:998/123/mg.php?id=cctv3
CCTV4,http://kxrj.site:998/123/mg.php?id=cctv4
CCTV5,http://kxrj.site:998/123/mg.php?id=cctv5
CCTV5+,http://kxrj.site:998/123/mg.php?id=cctv5p
CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV6,http://kxrj.site:998/123/mg.php?id=cctv6
CCTV7,http://kxrj.site:998/123/mg.php?id=cctv7
CCTV8,http://kxrj.site:998/123/mg.php?id=cctv8
CCTV9,http://kxrj.site:998/123/mg.php?id=cctv9
CCTV10,http://kxrj.site:998/123/mg.php?id=cctv10
CCTV11,http://kxrj.site:998/123/mg.php?id=cctv11
CCTV12,http://kxrj.site:998/123/mg.php?id=cctv12
CCTV13,http://kxrj.site:998/123/mg.php?id=cctv13
CCTV14,http://kxrj.site:998/123/mg.php?id=cctv14
CCTV15,http://kxrj.site:998/123/mg.php?id=cctv15
CCTV17,http://kxrj.site:998/123/mg.php?id=cctv17
CT4欧洲,http://kxrj.site:998/123/mg.php?id=cctv4o
CT4美洲,http://kxrj.site:998/123/mg.php?id=cctv4a
CGT纪录,http://kxrj.site:998/123/mg.php?id=cgtnjl
CGT西语,http://kxrj.site:998/123/mg.php?id=cgtne
CGT俄语,http://kxrj.site:998/123/mg.php?id=cgtnr
家庭影院,http://kxrj.site:998/123/mg.php?id=chcjt
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0&cdn=5202
中国教育,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022823801/timeshift.m3u8?delay=0&cdn=5202
嵊泗综合,http://kxrj.site:998/123/mg.php?id=ssxwzh
普陀电视,http://kxrj.site:998/123/mg.php?id=ptxwzh
高清大片,http://kxrj.site:998/123/mg.php?id=gqdp
军事大片,http://kxrj.site:998/123/mg.php?id=jsdp
热剧联播,http://kxrj.site:998/123/mg.php?id=rjlb
东方卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265018
江苏卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265030
浙江卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265031
湖南卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265024
广东卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265034
深圳卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265028
天津卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265026
安徽卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265025
东南卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265033
河北卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000006000040016
河南卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031119
湖北卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265023
四川卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000004000006119
重庆卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265017
贵州卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000004000025843
海南卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000004000006211
山东卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265019
青海卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000002000013359
云南卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031120
